Vehicle ID,Owner ID,Make,Model,Year,Vehicle Type,License Status,Last Renewal Date,Expiration Date,Fine Amount,Agent Service Used,Online Platform Used,Compliance History,Geographic Location,Region,Income Level,Number of Vehicles Owned,Previous Violations,Agent Hours Used,User Feedback Score,Predictive Score,Preferred Payment Mode,Date of Data Collection,Days Since Last Renewal,Number of Late Renewals in Last 3 Years,Average Renewal Lag Days,Agent Synchronization Lag,Month,Quarter
VH-4BCB76E8,OWN-1D7FEE96,Mercedes-Benz,C-Class,2020,Hatchback,Compliant,2023-05-01,2024-04-30,0.0,In-person,,Occasional Late,"Plumtree, Mashonaland Central",Peri-urban,High,2,0,1.74,2.8,0.469,Agent,2025-03-24,693,5,12.08,6.53,3,1
VH-BC3CF1C1,OWN-1F3C5EA0,Great Wall,Hover,2014,Sedan,Non-compliant,2023-05-20,2023-05-03,502.07,Online,Telecash,Occasional Late,"Kariba, Harare",Peri-urban,Low,5,2,0.0,,0.04,Mobile Money,2024-03-01,286,3,15.57,0.0,3,1
VH-6CD54B97,OWN-999AC2CB,Chevrolet,Cruze,2005,Hatchback,Compliant,2023-09-12,2024-09-11,0.0,Agent,,Always Compliant,"Bindura, Matabeleland North",Urban,High,2,0,5.7,1.1,0.088,Agent,2024-09-17,371,2,3.48,18.54,9,3
VH-80CCD100,OWN-D5CC5BAC,JAC,T6,2021,Motorcycle,Compliant,2023-04-24,2024-04-23,0.0,In-person,,Always Compliant,"Redcliff, Matabeleland North",Peri-urban,Middle,4,0,2.03,1.5,0.973,Bank Transfer,2024-05-28,4000,1,21.29,7.46,5,2
VH-E7918F71,OWN-22B28536,Toyota,Avanza,2013,Sedan,Expired,2023-07-13,2022-10-30,,Agent,,Always Compliant,"Masvingo, Bulawayo",Peri-urban,Very High,1,1,6.76,4.7,0.508,Mobile Money,2024-01-16,187,0,0.0,6.63,1,1
VH-F7000D8D,OWN-E0605AA1,Kia,Rio,2016,Truck,Compliant,2022-07-04,2023-07-04,0.0,Online,OneMoney,Occasional Late,"Harare, Mashonaland East",Rural,High,1,0,0.0,,0.87,Mobile Money,2024-03-18,623,4,11.49,0.0,3,1
VH-7E4538AD,OWN-7088316F,Kia,Sportage,2010,Minivan,Expired,2023-07-11,2022-10-30,0.0,Agent,,Frequently Non-compliant,"Victoria Falls, Masvingo",Peri-urban,Very High,1,4,7.02,,0.144,Mobile Money,2024-01-12,185,0,0.0,11.27,1,1
VH-82B125A0,OWN-E8606466,Volkswagen,Tiguan,2019,Minivan,Non-compliant,2023-03-20,2023-07-30,3152.66,Online,Zinara Portal,Occasional Late,"Zvishavane, Bulawayo",Peri-urban,Low,1,0,0.0,,0.227,Online,2024-05-12,419,3,29.35,0.0,5,2
VH-F2121367,OWN-78CC33C9,Mazda,323,2005,Minivan,Compliant,2024-10-18,2025/10/18,0.0,Agent,,Always Compliant,"Norton, Harare",Urban,Middle,1,0,4.74,3.5,0.241,Bank Transfer,2025-09-13,330,1,6.97,15.31,9,3
VH-973290AB,OWN-23BB5BEC,Chevrolet,Cruze,2021,Sedan,Compliant,2024-05-01,2025-05-01,,Agent,,Always Compliant,"Beitbridge, Mashonaland East",Rural,Very High,3,0,5.68,2.9,0.237,Bank Transfer,2025-08-26,482,2,17.24,23.82,8,3
VH-EF20EFF6,OWN-45ED8909,BMW,3 Series,2021,Pickup,Non-compliant,2023-12-10,2024-11-25,2508.8,In-person,,Always Compliant,"Chinhoyi, Harare",Rural,High,1,0,5.05,,0.756,Mobile Money,2025-09-20,6500,5,2.91,15.06,9,3
VH-5DA63273,OWN-80B8C206,Ford,F-150,2014,Sedan,Compliant,2024-01-13,2025-01-12,0.0,Online,Ecocash,Always Compliant,"Ruwa, Mashonaland West",Rural,High,3,0,0.0,2.9,0.806,Agent,2025-01-11,364,0,0.0,0.0,1,1
VH-59F57386,OWN-B7BB09EB,Chevrolet,Spark,2004,Motorcycle,Compliant,2024-08-18,2025-08-18,0.0,Online,Innbucks,Occasional Late,"Masvingo, Masvingo",Rural,,2,0,0.0,1.4,0.234,Online,2024-10-01,440,4,26.53,0.0,10,4
VH-878F9619,OWN-AE59CF2B,Great Wall,Hover,2019,SUV,Non-compliant,2022-12-19,2023-10-17,0.0,Agent,,Occasional Late,"Chiredzi, Bulawayo",Rural,Low,1,3,7.97,,0.454,Bank Transfer,2023-11-23,339,3,17.62,17.44,11,4
VH-5D32DF1D,OWN-33705113,Kia,Sportage,2015,Hatchback,Compliant,2023-12-04,2024-12-03,0.0,Online,Ecocash,Always Compliant,"Bindura, Mashonaland East",Urban,High,1,0,0.0,4.8,0.824,Online,2025-04-01,484,5,6.36,0.0,4,2
VH-D28BB9F5,OWN-15694E1D,Toyota,Corolla,2010,SUV,Compliant,2023-08-23,2024-08-22,2952.6,In-person,,Frequently Non-compliant,"Gweru, Midlands",Urban,Low,1,0,6.41,3.2,0.799,Online,2024/04/21,242,5,25.99,3.16,4,2
VH-6CD54B97,OWN-9AA16AE0,Land Rover,Defender,2018,Truck,Compliant,2023-02-14,2024-02-14,0.0,Agent,,Always Compliant,"Harare, Manicaland",Peri-urban,Low,1,0,4.35,3.9,0.909,Bank Transfer,2024-09-04,568,2,13.74,23.14,9,3
VH-B5B24C56,OWN-36CE77A7,Ford,Explorer,2012,Pickup,Non-compliant,2024-04-29,2024-05-10,0.0,Online,Innbucks,Always Compliant,"Plumtree, Bulawayo",Peri-urban,High,1,0,0.0,,0.506,Cash,2024-08-12,105,0,0.0,0.0,8,3
VH-C6DE57F6,OWN-AA4E0063,Mazda,CX-5,2013,Pickup,Non-compliant,2023-06-30,2024-06-07,0.0,Agent,,Occasional Late,"Masvingo, Masvingo",Peri-urban,Very High,1,1,7.65,,0.097,Agent,2024-09-27,455,1,16.69,14.08,9,3
VH-F6162055,OWN-6882FCB4,Great Wall,Steed,2010,Minivan,Non-compliant,2024-06-12,2024-10-07,0.0,In-person,,Always Compliant,"Mutare, Masvingo",Peri-urban,,1,0,1.66,2.5,0.763,Bank Transfer,2024-09-02,820,1,24.22,20.28,9,3
VH-225C9BB0,OWN-E7B324E8,Great Wall,Wingle,2019,Minivan,Compliant,2022-12-10,2023-12-10,0.0,In-person,,Occasional Late,"Gwanda, Mashonaland East",Urban,Very High,1,0,4.75,1.4,0.53,Cash,2023-11-21,346,3,13.61,3.78,11,4
VH-1628AB79,OWN-919768CC,BMW,X3,2024,Hatchback,Compliant,2023-11-28,2024-11-27,0.0,Agent,,Occasional Late,"Kariba, Bulawayo",Urban,Very High,1,1,5.05,,0.43,Agent,2024-02-16,80,5,20.35,11.68,2,1
VH-F008F20F,OWN-91887CBB,BMW,3 Series,2007,Pickup,Compliant,2024-10-19,2025-10-19,0.0,Agent,,Always Compliant,"Kariba, Harare",Urban,Middle,1,0,6.1,,0.559,Agent,2025-04-07,170,0,0.0,9.53,4,2
VH-A9B31A69,OWN-74266A55,Ford,Explorer,2000,Pickup,Compliant,2022-11-06,2023-11-06,,Agent,,Frequently Non-compliant,"Chitungwiza, Mashonaland West",Rural,Very High,3,0,1.79,,0.844,Mobile Money,2024-09-21,685,3,17.67,12.58,9,3
VH-713BFCAF,OWN-8D829F03,Hyundai,i10,2023,Truck,Compliant,2023-09-07,2024-09-06,0.0,Agent,,Always Compliant,"Masvingo, Mashonaland West",Urban,Middle,1,1,5.96,,0.602,Online,2024-01-31,146,1,28.54,15.07,1,1
VH-E52045C7,OWN-FB6C7F70,Chevrolet,Trailblazer,2024,Hatchback,Compliant,2023-02-14,2024-02-14,,In-person,,Always Compliant,"Beitbridge, Midlands",Rural,High,3,0,4.02,,0.462,Online,2024-02-09,360,0,0.0,8.85,2,1
VH-F373BE83,OWN-14236360,BMW,3 Series,2020,Motorcycle,Compliant,2022-11-08,2023-11-08,0.0,Agent,,Always Compliant,"Chitungwiza, Midlands",Rural,Middle,1,2,7.32,,0.062,Online,2024-07-24,624,2,29.47,2.02,7,3
VH-B1D35D13,OWN-0D3CCC1E,Mitsubishi,L200,2007,Minivan,Compliant,2024-04-24,2025/04/24,0.0,Agent,,Occasional Late,"Beitbridge, Matabeleland North",Rural,Low,3,0,5.59,,0.095,Cash,2025-05-31,402,2,7.56,20.44,5,2
VH-54EC8309,OWN-6F94C259,Honda,Accord,2002,Hatchback,Compliant,2022-01-30,2023-01-30,0.0,Agent,,Occasional Late,"Plumtree, Manicaland",Peri-urban,High,3,3,4.69,,0.685,Bank Transfer,2024-01-08,708,0,0.0,15.5,1,1
VH-7E5DA754,OWN-0C53B63B,Kia,Rio,2000,Truck,Compliant,2023-11-17,2024-11-16,0.0,In-person,,Occasional Late,"Norton, Manicaland",Urban,Low,2,0,4.31,3.4,0.154,Mobile Money,2024-06-30,226,5,23.13,19.42,6,2
VH-E68D7163,OWN-E587DFB2,Mitsubishi,Triton,2001,Pickup,Compliant,2023-11-12,2024-11-11,0.0,Agent,,Frequently Non-compliant,"Chegutu, Mashonaland Central",Peri-urban,Middle,1,2,7.28,2.8,0.282,Cash,2024-08-07,2690,4,15.82,23.19,8,3
VH-EC5339E6,OWN-F01AB0B5,Isuzu,MU-X,2004,Motorcycle,Compliant,2023-03-08,2024-03-07,0.0,In-person,,Frequently Non-compliant,"Chinhoyi, Harare",Rural,Middle,1,0,2.64,,0.437,Mobile Money,2024-10-25,597,3,26.54,22.33,10,4
VH-A3935D21,OWN-64257641,Kia,Sportage,2012,Hatchback,Expired,2024-02-06,2024-01-22,0.0,Agent,,Frequently Non-compliant,"Chegutu, Mashonaland Central",Peri-urban,Middle,1,1,6.44,4.3,0.759,Cash,2024-10-22,259,3,18.46,21.74,10,4
VH-B8A08CFA,OWN-8773574A,Toyota,Camry,2006,Motorcycle,Compliant,2024-04-12,2025/04/12,0.0,In-person,,Occasional Late,"Gweru, Matabeleland South",Rural,Very High,1,0,3.65,,0.632,Bank Transfer,2024-09-02,143,1,21.56,6.99,9,3
VH-6CD54B97,OWN-F87487B6,Toyota,RAV4,2007,Hatchback,Compliant,2023-04-19,2024-04-18,0.0,Online,Telecash,Always Compliant,"Bindura, Manicaland",Rural,Low,1,0,0.0,4.9,0.254,Online,2024-05-22,399,2,23.66,0.0,5,2
VH-6CD54B97,OWN-1D5249FB,Land Rover,Defender,2023,Minivan,Non-compliant,2024-06-21,2024-06-13,,Online,OneMoney,Occasional Late,"Chiredzi, Bulawayo",Rural,,2,1,0.0,,0.776,Cash,2024-12-04,166,0,0.0,0.0,12,4
VH-7664CFC4,OWN-2B777B77,BMW,5 Series,2001,Motorcycle,Expired,2023-03-21,2022-06-15,0.0,Agent,,Always Compliant,"Kadoma, Harare",Peri-urban,Low,3,1,3.18,,0.368,Cash,2024-05-31,437,5,13.19,22.96,5,2
VH-8B8DAE4B,OWN-A218B4DA,Audi,A4,2015,Minivan,Compliant,2024-05-10,2025-05-10,0.0,Online,Ecocash,Always Compliant,"Victoria Falls, Mashonaland West",Rural,High,1,2,0.0,,0.446,Cash,2025-08-17,464,1,20.69,0.0,8,3
VH-72E89157,OWN-0852CE92,Land Rover,Discovery,2001,Minivan,Compliant,2025-05-29,2026-05-29,0.0,Online,Innbucks,Always Compliant,"Chegutu, Midlands",Peri-urban,Middle,4,0,0.0,4.1,0.035,Online,2025-09-12,106,1,23.36,0.0,9,3
VH-9E060E4B,OWN-1D165D42,Land Rover,Discovery,2012,Hatchback,Compliant,2023-09-12,2024-09-11,,Agent,,Always Compliant,"Bulawayo, Midlands",Urban,High,1,0,3.49,3.0,0.387,Bank Transfer,2024-10-26,410,0,0.0,6.28,10,4
VH-8D835A3A,OWN-721F37B1,Volkswagen,Amarok,2006,Hatchback,Compliant,2024-04-21,2025/04/21,0.0,Online,Ecocash,Always Compliant,"Norton, Matabeleland North",Urban,High,2,5,0.0,,0.3,Mobile Money,2025-08-26,492,5,21.29,0.0,8,3
VH-6E4B654F,OWN-40FFFD69,Mitsubishi,Outlander,2016,SUV,Compliant,2024-04-27,2025-04-27,0.0,Online,Paynow,Always Compliant,"Mutare, Mashonaland Central",Urban,Low,1,0,0.0,2.9,0.411,Cash,2024-06-22,560,4,2.21,0.0,6,2
VH-C028ED22,OWN-45606EF9,Audi,A3,2014,Pickup,Compliant,2022-06-09,2023-06-09,0.0,Online,Zinara Portal,Always Compliant,"Plumtree, Matabeleland South",Peri-urban,Low,2,0,,,0.935,Mobile Money,2024-04-24,685,2,28.42,0.0,4,2
VH-79E5E7B1,OWN-FF2EAEB3,JAC,S2,2002,Truck,Compliant,2023-03-16,2024/03/15,0.0,Online,Paynow,Occasional Late,"Kadoma, Matabeleland South",Peri-urban,Middle,2,0,0.0,4.4,0.564,Online,2025-01-03,659,0,0.0,0.0,1,1
VH-6CD54B97,OWN-D927D0A9,Ford,Fiesta,2024,Hatchback,Compliant,2023-11-25,2024-11-24,,Agent,,Always Compliant,"Chinhoyi, Mashonaland Central",Rural,Very High,1,0,4.12,,0.44,Cash,2024-01-25,610,3,6.12,14.56,1,1
VH-92EFC865,OWN-75F7F6D8,Audi,Q5,2023,Motorcycle,Non-compliant,2022/10/04,2022-10-28,0.0,In-person,,Always Compliant,"Chegutu, Masvingo",Urban,Low,1,0,1.56,2.0,0.865,Mobile Money,2024-05-31,605,2,28.01,17.31,5,2
VH-E5B04701,OWN-9B1B191B,Isuzu,KB,2015,Hatchback,Compliant,2024-06-03,2025-06-03,2551.95,Agent,,Occasional Late,"Beitbridge, Matabeleland North",Peri-urban,High,1,0,0.86,2.9,0.537,Online,2025-08-09,432,3,4.02,6.35,8,3
VH-6CD54B97,OWN-2C65D553,Land Rover,Discovery,2011,Sedan,Compliant,2023-03-18,2024-03-17,0.0,Online,Ecocash,Always Compliant,"Zvishavane, Harare",Rural,Low,1,0,0.0,4.9,0.558,Agent,2024-11-03,596,1,5.97,0.0,11,4
VH-61CBAF6A,OWN-5F7760A4,JAC,S2,2016,Sedan,Non-compliant,2022-12-29,2023-07-20,787.26,Online,Ecocash,Occasional Late,"Bulawayo, Harare",Urban,Middle,1,0,0.0,3.4,0.507,Bank Transfer,2024-07-12,561,4,14.7,0.0,7,3
VH-5956BE0C,OWN-647F2314,Haval,H9,2015,Motorcycle,Compliant,2022-12-22,2023-12-22,1573.01,Online,Zinara Portal,Occasional Late,"Harare, Mashonaland West",Peri-urban,Very High,1,2,0.0,3.3,0.228,Online,2024-09-09,627,4,14.41,0.0,9,3
VH-FBD606A6,OWN-4870297D,JAC,M1,2023,Hatchback,Non-compliant,2025-01-03,2025-09-23,,Agent,,Always Compliant,"Lupane, Masvingo",Urban,Very High,2,0,3.64,4.7,0.873,Online,2025-03-06,62,5,4.14,4.98,3,1
VH-17DD7D0A,OWN-5DBDB3CC,Audi,Q7,2016,Pickup,Expired,2023-04-15,2022-10-15,3395.55,Online,Ecocash,Always Compliant,"Marondera, Manicaland",Peri-urban,Very High,1,1,0.0,1.9,0.973,Agent,2024-11-24,589,2,21.15,0.0,11,4
VH-A8BAF4E0,OWN-4B7F06C0,Foton,View,2015,Truck,Compliant,2022-05-11,2023-05-11,1929.49,In-person,,Always Compliant,"Redcliff, Mashonaland East",Peri-urban,High,4,2,2.68,3.6,0.747,Mobile Money,2023-12-18,586,1,24.84,6.51,12,4
VH-52B51EF2,OWN-974C779B,Great Wall,Steed,2008,SUV,Compliant,2024-12-15,2025-12-15,0.0,In-person,,Always Compliant,"Mutare, Midlands",Rural,High,2,1,1.25,1.0,0.55,Mobile Money,2025-03-06,81,3,19.59,21.14,3,1
VH-EF5BC39C,OWN-A6D1CDA0,Foton,View,2020,SUV,Compliant,2025-05-12,2026-05-12,0.0,In-person,,Occasional Late,"Lupane, Mashonaland East",Peri-urban,Middle,1,1,7.35,,0.836,Cash,2025-09-10,121,1,28.1,23.09,9,3
VH-FA4595BD,OWN-A9A9AFAE,BMW,3 Series,2000,Truck,Expired,2024-01-15,2023-05-27,0.0,In-person,,Occasional Late,"Ruwa, Midlands",Urban,Very High,1,0,6.88,3.9,0.648,Mobile Money,2024-12-01,321,0,0.0,17.68,12,4
VH-86A6E55D,OWN-4A1B2AB3,BMW,5 Series,2005,Hatchback,Compliant,2024-05-30,2025-05-30,0.0,Agent,,Always Compliant,"Chiredzi, Masvingo",Peri-urban,Low,1,0,,4.8,0.302,Bank Transfer,2025-08-13,440,0,0.0,6.28,8,3
VH-2795FF59,OWN-5CD9ED85,Land Rover,Range Rover,2007,Sedan,Compliant,2023-03-26,2024-03-25,4619.37,Online,Zinara Portal,Always Compliant,"Plumtree, Bulawayo",Peri-urban,High,1,1,0.0,2.9,0.455,Bank Transfer,2024-09-20,544,2,12.48,0.0,9,3
VH-8ED58C75,OWN-A8425185,Great Wall,Hover,2024,Hatchback,Compliant,2023-11-17,2024-11-16,0.0,Online,Zinara Portal,Frequently Non-compliant,"Plumtree, Mashonaland Central",Urban,,3,0,0.0,,0.537,Mobile Money,2024-03-09,113,2,25.63,0.0,3,1
VH-625522B2,OWN-E90043FC,Chevrolet,Spark,2021,SUV,Compliant,2023-02-05,2024-02-05,0.0,Agent,,Always Compliant,"Gwanda, Midlands",Peri-urban,Very High,2,0,4.73,,0.254,Online,2024-06-05,486,5,6.54,1.75,6,2
VH-388867A9,OWN-200B8258,Kia,Rio,2022,Sedan,Expired,2024-05-13,2023-12-18,0.0,Online,Innbucks,Occasional Late,"Redcliff, Harare",Urban,Very High,1,1,0.0,4.7,0.377,Online,2024-07-14,62,5,28.92,0.0,7,3
VH-B62BE6D2,OWN-8CE3A800,Great Wall,Wingle,2020,Motorcycle,Expired,2023-03-12,2023-01-05,0.0,In-person,,Always Compliant,"Chegutu, Bulawayo",Urban,Very High,2,0,7.84,4.3,0.248,Agent,2024-10-03,571,1,8.27,22.5,10,4
VH-7D83FE07,OWN-68177201,Mazda,BT-50,2021,Pickup,Compliant,2023-10-30,2024-10-29,0.0,In-person,,Always Compliant,"Kariba, Harare",Urban,Low,1,1,2.34,,0.864,Online,2025-07-29,6380,1,15.12,6.94,7,3
