Vehicle ID,Owner ID,Make,Model,Year,Vehicle Type,License Status,Last Renewal Date,Expiration Date,Fine Amount,Agent Service Used,Online Platform Used,Compliance History,Geographic Location,Region,Income Level,Number of Vehicles Owned,Previous Violations,Agent Hours Used,User Feedback Score,Predictive Score,Preferred Payment Mode,Date of Data Collection,Days Since Last Renewal,Number of Late Renewals in Last 3 Years,Average Renewal Lag Days,Agent Synchronization Lag,Month,Quarter,vehicle_age_years,late_renewal_rate,renewal_frequency,payment_digital_score,region_risk_score,agent_efficiency,is_licensed
VH-6112C00E,OWN-867FC005,Honda,CR-V,2001,Suv,Compliant,2022-05-27,2023-05-27,0.0,In-person,,Occasional Late,"Victoria Falls, Midlands",Urban,Low,3,0,1.61,4.1,0.219,Bank Transfer,2024-02-05,619,3,1.51,5.98,2,1,23,1.0,0.9496498832944315,0.6,0.3,0.7506255212677231,True
VH-0340004B,OWN-F3DAEC8C,Mazda,323,2004,Motorcycle,Compliant,2022-10-27,2023-10-27,4084.28,Online,OneMoney,Always Compliant,"Beitbridge, Matabeleland South",Rural,Middle,2,0,0.0,,0.247,Agent,2024-08-14,657,4,14.54,0.0,8,3,20,1.3333333333333333,0.5151717239079694,0.4,0.7,1.0,True
VH-04B32B7A,OWN-A9E24417,Mercedes-Benz,C-Class,2014,Sedan,Compliant,2023-05-15,2024-05-14,0.0,In-person,,Always Compliant,"Gwanda, Mashonaland East",Urban,Low,1,0,5.8,1.2,0.833,Cash,2024-12-18,583,4,28.38,0.47,12,4,10,1.3333333333333333,0.053684561520506824,0.0,0.3,0.9804003336113428,True
VH-44FBC358,OWN-BF1D9A52,Haval,H9,2015,Sedan,Non-compliant,2023-02-04,2024-01-22,0.0,Agent,,Always Compliant,"Chegutu, Mashonaland East",,Very High,1,2,,4.2,0.724,Cash,2024-09-07,581,1,29.42,12.82,9,3,9,0.3333333333333333,0.019006335445148292,0.0,0.5,0.46538782318598837,False
VH-518D4697,OWN-04F8F45D,Hyundai,Tucson,2002,Minivan,Compliant,2023-12-27,2024-12-26,0.0,Agent,,Always Compliant,"Bindura, Manicaland",,Very High,1,0,,,0.539,Agent,2025-02-17,418,1,19.5,18.75,2,1,23,0.3333333333333333,0.34978326108702895,0.4,0.5,0.21809841534612173,True
VH-B97D7D51,OWN-21B51CD9,Ford,Ranger,2007,Suv,Compliant,2022-07-30,2023-07-30,616.23,Agent,,Frequently Non-compliant,"Harare, Midlands",Urban,Middle,2,0,6.25,4.1,0.164,Agent,2024-07-14,715,0,0.0,13.89,7,3,17,0.0,1.0,0.4,0.3,0.42076730608840696,True
VH-9DF80505,OWN-9CB9A9B3,BMW,X5,2012,Minivan,Compliant,2023-05-05,2024-05-04,0.0,Online,Zinara Portal,Always Compliant,"Kadoma, Bulawayo",Rural,Low,1,2,0.0,3.0,0.341,Cash,2024-02-07,278,3,3.17,0.0,2,1,12,1.0,0.8942980993664554,0.0,0.7,1.0,True
VH-B5B15CF9,OWN-020F386E,Land Rover,Range Rover,2014,Minivan,Non-compliant,2023-03-14,2023-12-24,0.0,Agent,,Always Compliant,"Gweru, Masvingo",Urban,High,1,0,6.69,2.1,0.451,Cash,2024-01-14,306,4,18.31,9.1,1,1,10,1.3333333333333333,0.38946315438479495,0.0,0.3,0.6205170975813178,False
VH-15BFAD92,OWN-FB5BFA22,Toyota,Yaris,2010,Suv,Non-compliant,2024-01-16,2024-10-17,0.0,In-person,,Occasional Late,"Victoria Falls, Mashonaland Central",,Very High,1,0,11.4,3.6,0.491,Online,2024-11-27,316,0,0.0,7.06,11,4,14,0.0,1.0,1.0,0.5,0.7055879899916597,False
VH-19C8AE56,OWN-8C41401D,Hyundai,Santa Fe,2009,Minivan,Compliant,2023-08-16,2024-08-15,,Agent,,Occasional Late,"Ruwa, Mashonaland West",,High,1,0,2.53,4.0,0.951,Mobile Money,2024-11-23,465,1,6.49,11.62,11,4,15,0.3333333333333333,0.7835945315105035,0.8,0.5,0.5154295246038365,True
VH-1F548684,OWN-9B13320C,Haval,Jolion,2019,Truck,Compliant,2024-06-06,2025-06-06,0.0,In-person,,Occasional Late,"Mutare, Mashonaland Central",,Middle,2,0,4.65,,0.012,Agent,2025-05-11,339,3,14.36,8.18,5,2,6,1.0,0.5211737245748582,0.4,0.5,0.6588824020016681,True
VH-B6DC0820,OWN-2CAE6294,Ford,F-150,2015,Sedan,Compliant,2023-11-13,2024-11-12,801.05,In-person,,Always Compliant,"Chitungwiza, Masvingo",,Low,2,3,7.95,3.5,0.776,Cash,2024-02-05,84,3,27.26,7.14,2,1,9,1.0,0.0910303434478158,0.0,0.5,0.7022518765638032,True
VH-24E242DF,OWN-D4B2C5E8,Haval,H9,2009,Hatchback,Expired,2024-12-02,,,In-person,,Always Compliant,"Kariba, Harare",Rural,Middle,1,0,4.64,2.2,0.231,Agent,2025-08-01,242,5,25.79,1.71,8,3,16,1.6666666666666667,0.14004668222740912,0.4,0.7,0.9286905754795663,False
VH-2183C38D,OWN-E732B3CD,Mercedes-Benz,C-Class,2020,Hatchback,Compliant,2023-05-02,2024-05-01,0.0,In-person,,Occasional Late,"Plumtree, Mashonaland Central",,High,2,0,1.74,2.8,0.469,Agent,2025-03-25,693,5,12.08,6.53,3,1,5,1.6666666666666667,0.5971990663554518,0.4,0.5,0.7276897414512093,True
VH-DDB45B79,OWN-4AF3F247,Great Wall,Hover,2014,Sedan,Non-compliant,2023-05-21,2023-05-04,502.07,Online,Telecash,Occasional Late,"Kariba, Harare",,Low,5,2,0.0,,0.04,Mobile Money,2024-03-02,286,3,15.57,0.0,3,1,10,1.0,0.4808269423141046,0.8,0.5,1.0,False
VH-953C0D68,OWN-8A7A2063,Chevrolet,Cruze,2005,Hatchback,Compliant,2023-09-13,2024-09-12,0.0,Agent,,Always Compliant,"Bindura, Matabeleland North",Urban,High,2,0,5.7,1.1,0.088,Agent,2024-09-18,371,2,3.48,18.54,9,3,19,0.6666666666666666,0.8839613204401467,0.4,0.3,0.22685571309424524,True
VH-D7CC8168,OWN-141A75FC,JAC,T6,2021,Motorcycle,Compliant,2023-04-25,2024-04-24,0.0,In-person,,Always Compliant,"Redcliff, Matabeleland North",,Middle,4,0,2.03,1.5,0.973,Bank Transfer,2024-05-29,400,1,21.29,7.46,5,2,3,0.3333333333333333,0.2900966988996332,0.6,0.5,0.688907422852377,True
VH-4C8BEA34,OWN-82B17147,Toyota,Avanza,2013,Sedan,Expired,2023-07-14,2022-10-31,,Agent,,Always Compliant,"Masvingo, Bulawayo",,Very High,1,1,6.76,4.7,0.508,Mobile Money,2024-01-17,187,0,0.0,6.63,1,1,11,0.0,1.0,0.8,0.5,0.7235195996663887,False
VH-42CEB881,OWN-724925AF,Kia,Rio,2016,Truck,Compliant,2022-07-05,2023-07-05,0.0,Online,OneMoney,Occasional Late,"Harare, Mashonaland East",Rural,High,1,0,0.0,,0.87,Mobile Money,2024-03-19,623,4,11.49,0.0,3,1,8,1.3333333333333333,0.6168722907635878,0.8,0.7,1.0,True
VH-72A583FD,OWN-A6C53E8F,Kia,Sportage,2010,Minivan,Expired,2023-07-12,2022-10-31,0.0,Agent,,Frequently Non-compliant,"Victoria Falls, Masvingo",,Very High,1,4,7.02,,0.144,Mobile Money,2024-01-13,185,0,0.0,11.27,1,1,14,0.0,1.0,0.8,0.5,0.5300250208507089,False
VH-1DE6FA9A,OWN-3530C70D,Volkswagen,Tiguan,2019,Minivan,Non-compliant,2023-03-21,2023-07-31,3152.66,Online,Zinara Portal,Occasional Late,"Zvishavane, Bulawayo",,Low,1,0,0.0,,0.227,Online,2024-05-13,419,3,29.35,0.0,5,2,5,1.0,0.021340446815605096,1.0,0.5,1.0,False
VH-E9C022ED,OWN-7E1715D0,Mazda,323,2005,Minivan,Compliant,2024-10-19,,0.0,Agent,,Always Compliant,"Norton, Harare",Urban,Middle,1,0,4.74,3.5,0.241,Bank Transfer,2025-09-14,330,1,6.97,15.31,9,3,20,0.3333333333333333,0.7675891963987996,0.6,0.3,0.36155129274395326,True
VH-EAEB9B40,OWN-6D90DC33,Chevrolet,Cruze,2021,Sedan,Compliant,2024-05-02,2025-05-02,,Agent,,Always Compliant,"Beitbridge, Mashonaland East",Rural,Very High,3,0,5.68,2.9,0.237,Bank Transfer,2025-08-27,482,2,17.24,23.82,8,3,4,0.6666666666666666,0.42514171390463495,0.6,0.7,0.006672226855713115,True
VH-87B2D1EA,OWN-0E986D12,BMW,3 Series,2021,Pickup,Non-compliant,2023-12-11,2024-11-26,2508.8,In-person,,Always Compliant,"Chinhoyi, Harare",Rural,High,1,0,5.05,,0.756,Mobile Money,2025-09-21,650,5,2.91,15.06,9,3,4,1.6666666666666667,0.902967655885295,0.8,0.7,0.371976647206005,False
VH-C0EA88F1,OWN-6C563FE3,Ford,F-150,2014,Sedan,Compliant,2024-01-14,2025-01-13,0.0,Online,Ecocash,Always Compliant,"Ruwa, Mashonaland West",Rural,High,3,0,0.0,2.9,0.806,Agent,2025-01-12,364,0,0.0,0.0,1,1,11,0.0,1.0,0.4,0.7,1.0,True
VH-295A65BF,OWN-9187B2AB,Chevrolet,Spark,2004,Motorcycle,Compliant,2024-08-19,2025-08-19,0.0,Online,Innbucks,Occasional Late,"Masvingo, Masvingo",Rural,Nan,2,0,0.0,1.4,0.234,Online,2024-10-02,44,4,26.53,0.0,10,4,20,1.3333333333333333,0.11537179059686553,1.0,0.7,1.0,True
VH-AF80EFE6,OWN-46FDCDB4,Great Wall,Hover,2019,Suv,Non-compliant,2022-12-20,2023-10-18,0.0,Agent,,Occasional Late,"Chiredzi, Bulawayo",Rural,Low,1,3,7.97,,0.454,Bank Transfer,2023-11-24,339,3,17.62,17.44,11,4,4,1.0,0.41247082360786924,0.6,0.7,0.2727272727272727,False
VH-008BFAA8,OWN-543697B0,Kia,Sportage,2015,Hatchback,Compliant,2023-12-05,2024-12-04,0.0,Online,Ecocash,Always Compliant,"Bindura, Mashonaland East",Urban,High,1,0,0.0,4.8,0.824,Online,2025-04-02,484,5,6.36,0.0,4,2,10,1.6666666666666667,0.7879293097699233,1.0,0.3,1.0,True
VH-FDF42568,OWN-1C2FE7F7,Toyota,Corolla,2010,Suv,Compliant,2023-08-24,2024-08-23,2952.6,In-person,,Frequently Non-compliant,"Gweru, Midlands",Urban,Low,1,0,6.41,3.2,0.799,Online,2025-11-10,809,5,25.99,3.16,11,4,15,1.6666666666666667,0.13337779259753246,1.0,0.3,0.8682235195996664,True
VH-953C0D68,OWN-55363B1D,Land Rover,Defender,2018,Truck,Compliant,2023-02-15,2024-02-15,0.0,Agent,,Always Compliant,"Harare, Manicaland",,Low,1,0,4.35,3.9,0.909,Bank Transfer,2024-09-05,568,2,13.74,23.14,9,3,6,0.6666666666666666,0.5418472824274758,0.6,0.5,0.035029190992493686,True
VH-4572FF93,OWN-0C75F55C,Ford,Explorer,2012,Pickup,Non-compliant,2024-04-30,2024-05-11,0.0,Online,Innbucks,Always Compliant,"Plumtree, Bulawayo",,High,1,0,0.0,,0.506,Cash,2024-08-13,105,0,0.0,0.0,8,3,12,0.0,1.0,0.0,0.5,1.0,False
VH-D607F5A9,OWN-4F361C04,Mazda,CX-5,2013,Pickup,Non-compliant,2023-07-01,2024-06-08,0.0,Agent,,Occasional Late,"Masvingo, Masvingo",,Very High,1,1,7.65,,0.097,Agent,2024-09-28,455,1,16.69,14.08,9,3,11,0.3333333333333333,0.4434811603867955,0.4,0.5,0.4128440366972477,False
VH-EA5716C9,OWN-6690BE50,Great Wall,Steed,2010,Minivan,Non-compliant,2024-06-13,2024-10-08,0.0,In-person,,Always Compliant,"Mutare, Masvingo",,Nan,1,0,1.66,2.5,0.763,Bank Transfer,2024-09-03,82,1,24.22,20.28,9,3,14,0.3333333333333333,0.19239746582194062,0.6,0.5,0.1542952460383653,False
VH-FA0CB2C4,OWN-64F0A31A,Great Wall,Wingle,2019,Minivan,Compliant,2022-12-11,2023-12-11,0.0,In-person,,Occasional Late,"Gwanda, Mashonaland East",Urban,Very High,1,0,4.75,1.4,0.53,Cash,2023-11-22,346,3,13.61,3.78,11,4,4,1.0,0.5461820606868957,0.0,0.3,0.8423686405337781,True
VH-59480878,OWN-3F87D26A,BMW,X3,2024,Hatchback,Compliant,2023-11-29,2024-11-28,0.0,Agent,,Occasional Late,"Kariba, Bulawayo",Urban,Very High,1,1,5.05,,0.43,Agent,2024-02-17,80,5,20.35,11.68,2,1,0,1.6666666666666667,0.3214404801600532,0.4,0.3,0.5129274395329442,True
VH-042120AD,OWN-15DBC8E2,BMW,3 Series,2007,Pickup,Compliant,2024-10-20,2025-10-20,0.0,Agent,,Always Compliant,"Kariba, Harare",Urban,Middle,1,0,6.1,,0.559,Agent,2025-04-08,170,0,0.0,9.53,4,2,18,0.0,1.0,0.4,0.3,0.6025854879065888,True
VH-F98C38B2,OWN-83F27527,Ford,Explorer,2000,Pickup,Compliant,2022-11-07,2023-11-07,,Agent,,Frequently Non-compliant,"Chitungwiza, Mashonaland West",Rural,Very High,3,0,1.79,,0.844,Mobile Money,2024-09-22,685,3,17.67,12.58,9,3,24,1.0,0.41080360120040005,0.8,0.7,0.47539616346955793,True
VH-4E0DA0BE,OWN-62A72833,Hyundai,i10,2023,Truck,Compliant,2023-09-08,2024-09-07,0.0,Agent,,Always Compliant,"Masvingo, Mashonaland West",Urban,Middle,1,1,5.96,,0.602,Online,2024-02-01,146,1,28.54,15.07,2,1,1,0.3333333333333333,0.048349449816605494,1.0,0.3,0.37155963302752293,True
VH-FC3991AD,OWN-9F4B12B0,Chevrolet,Trailblazer,2024,Hatchback,Compliant,2023-02-15,2024-02-15,,In-person,,Always Compliant,"Beitbridge, Midlands",Rural,High,3,0,4.02,,0.462,Online,2024-02-10,360,0,0.0,8.85,2,1,0,0.0,1.0,1.0,0.7,0.6309424520433695,True
VH-16645F21,OWN-057DC577,BMW,3 Series,2020,Motorcycle,Compliant,2022-11-09,2023-11-09,0.0,Agent,,Always Compliant,"Chitungwiza, Midlands",Rural,Middle,1,2,7.32,,0.062,Online,2024-07-25,624,2,29.47,2.02,7,3,4,0.6666666666666666,0.01733911303767921,1.0,0.7,0.9157631359466222,True
VH-AA99EE4E,OWN-625F0814,Mitsubishi,L200,2007,Minivan,Compliant,2024-04-25,,0.0,Agent,,Occasional Late,"Beitbridge, Matabeleland North",Rural,Low,3,0,5.59,,0.095,Cash,2025-06-01,402,2,7.56,20.44,6,2,18,0.6666666666666666,0.7479159719906636,0.0,0.7,0.1476230191826522,True
VH-7C9EECA2,OWN-7A1E92D0,Honda,Accord,2002,Hatchback,Compliant,2022-01-31,2023-01-31,0.0,Agent,,Occasional Late,"Plumtree, Manicaland",,High,3,3,4.69,,0.685,Bank Transfer,2024-01-09,708,0,0.0,15.5,1,1,22,0.0,1.0,0.6,0.5,0.353628023352794,True
VH-0B228BAE,OWN-A67F48DA,Kia,Rio,2000,Truck,Compliant,2023-11-18,2024-11-17,0.0,In-person,,Occasional Late,"Norton, Manicaland",Urban,Low,2,0,4.31,3.4,0.154,Mobile Money,2024-07-01,226,5,23.13,19.42,7,3,24,1.6666666666666667,0.22874291430476823,0.8,0.3,0.1901584653878231,True
VH-66B90211,OWN-E0E990FB,Mitsubishi,Triton,2001,Pickup,Compliant,2023-11-13,2024-11-12,0.0,Agent,,Frequently Non-compliant,"Chegutu, Mashonaland Central",,Middle,1,2,7.28,2.8,0.282,Cash,2024-08-08,269,4,15.82,23.19,8,3,23,1.3333333333333333,0.47249083027675887,0.0,0.5,0.03294412010008341,True
VH-587DF995,OWN-D073BA52,Isuzu,MU-X,2004,Motorcycle,Compliant,2023-03-09,2024-03-08,0.0,In-person,,Frequently Non-compliant,"Chinhoyi, Harare",Rural,Middle,1,0,2.64,,0.437,Mobile Money,2024-10-26,597,3,26.54,22.33,10,4,20,1.0,0.11503834611537178,0.8,0.7,0.06880733944954143,True
VH-BFC15C63,OWN-6B5F37F9,Kia,Sportage,2012,Hatchback,Expired,2024-02-07,2024-01-23,0.0,Agent,,Frequently Non-compliant,"Chegutu, Mashonaland Central",,Middle,1,1,6.44,4.3,0.759,Cash,2024-10-23,259,3,18.46,21.74,10,4,12,1.0,0.38446148716238737,0.0,0.5,0.09341117597998339,False
VH-12631711,OWN-A34A7769,Toyota,Camry,2006,Motorcycle,Compliant,2024-04-13,,0.0,In-person,,Occasional Late,"Gweru, Matabeleland South",Rural,Very High,1,0,3.65,,0.632,Bank Transfer,2024-09-03,143,1,21.56,6.99,9,3,18,0.3333333333333333,0.2810936978992997,0.6,0.7,0.7085070892410341,True
VH-953C0D68,OWN-046DC445,Toyota,RAV4,2007,Hatchback,Compliant,2023-04-20,2024-04-19,0.0,Online,Telecash,Always Compliant,"Bindura, Manicaland",Rural,Low,1,0,0.0,4.9,0.254,Online,2024-05-23,399,2,23.66,0.0,5,2,17,0.6666666666666666,0.21107035678559516,1.0,0.7,1.0,True
VH-953C0D68,OWN-39F1E89E,Land Rover,Defender,2023,Minivan,Non-compliant,2024-06-22,2024-06-14,,Online,OneMoney,Occasional Late,"Chiredzi, Bulawayo",Rural,Nan,2,1,0.0,,0.776,Cash,2024-12-05,166,0,0.0,0.0,12,4,1,0.0,1.0,0.0,0.7,1.0,False
VH-FB313401,OWN-9F39139C,BMW,5 Series,2001,Motorcycle,Expired,2023-03-22,2022-06-16,0.0,Agent,,Always Compliant,"Kadoma, Harare",,Low,3,1,3.18,,0.368,Cash,2024-06-01,437,5,13.19,22.96,6,2,23,1.6666666666666667,0.5601867289096365,0.0,0.5,0.04253544620517091,False
VH-7AC2CF2F,OWN-3C8FF082,Audi,A4,2015,Minivan,Compliant,2024-05-11,2025-05-11,0.0,Online,Ecocash,Always Compliant,"Victoria Falls, Mashonaland West",Rural,High,1,2,0.0,,0.446,Cash,2025-08-18,464,1,20.69,0.0,8,3,10,0.3333333333333333,0.31010336778926306,0.0,0.7,1.0,True
VH-BA7AA80E,OWN-307DBC4C,Land Rover,Discovery,2001,Minivan,Compliant,2025-05-30,2026-05-30,0.0,Online,Innbucks,Always Compliant,"Chegutu, Midlands",,Middle,4,0,0.0,4.1,0.035,Online,2025-09-13,106,1,23.36,0.0,9,3,24,0.3333333333333333,0.2210736912304101,1.0,0.5,1.0,True
VH-BCDA227E,OWN-B113289A,Land Rover,Discovery,2012,Hatchback,Compliant,2023-09-13,2024-09-12,,Agent,,Always Compliant,"Bulawayo, Midlands",Urban,High,1,0,3.49,3.0,0.387,Bank Transfer,2024-10-27,410,0,0.0,6.28,10,4,12,0.0,1.0,0.6,0.3,0.738115095913261,True
VH-48DD033B,OWN-FD419186,Volkswagen,Amarok,2006,Hatchback,Compliant,2024-04-22,,0.0,Online,Ecocash,Always Compliant,"Norton, Matabeleland North",Urban,High,2,5,0.0,,0.3,Mobile Money,2025-08-27,492,5,21.29,0.0,8,3,19,1.6666666666666667,0.2900966988996332,0.8,0.3,1.0,True
VH-B21B5B6E,OWN-0F99492A,Mitsubishi,Outlander,2016,Suv,Compliant,2024-04-28,2025-04-28,0.0,Online,Paynow,Always Compliant,"Mutare, Mashonaland Central",Urban,Low,1,0,0.0,2.9,0.411,Cash,2024-06-23,56,4,2.21,0.0,6,2,8,1.3333333333333333,0.9263087695898633,0.0,0.3,1.0,True
VH-0F208F31,OWN-C3EDFD00,Audi,A3,2014,Pickup,Compliant,2022-06-10,2023-06-10,0.0,Online,Zinara Portal,Always Compliant,"Plumtree, Matabeleland South",,Low,2,0,,,0.935,Mobile Money,2024-04-25,685,2,28.42,0.0,4,2,10,0.6666666666666666,0.05235078359453138,0.8,0.5,1.0,True
VH-C1240A11,OWN-1359E3A1,JAC,S2,2002,Truck,Compliant,2023-03-17,,0.0,Online,Paynow,Occasional Late,"Kadoma, Matabeleland South",,Middle,2,0,0.0,4.4,0.564,Online,2025-01-04,659,0,0.0,0.0,1,1,23,0.0,1.0,1.0,0.5,1.0,True
VH-953C0D68,OWN-51BF893C,Ford,Fiesta,2024,Hatchback,Compliant,2023-11-26,2024-11-25,,Agent,,Always Compliant,"Chinhoyi, Mashonaland Central",Rural,Very High,1,0,4.12,,0.44,Cash,2024-01-26,61,3,6.12,14.56,1,1,0,1.0,0.7959319773257753,0.0,0.7,0.39282735613010844,True
